match,score,home_xg_raw,away_xg_raw,home_xg_sos,away_xg_sos,totals_pick,totals_pnl,spreads_pick,spreads_pnl
Colombia vs France,1-3,1.65,2.37,1.53,2.0,Over 3.0 (@2.072),1.072,away -1.0 (@2.442),1.4420000000000002
France vs Ivory Coast,1-2,2.42,1.56,2.07,1.89,Over 3.0 (@2.128),-1.0,home -1.0 (@2.258),-1.0
Norway vs New Zealand,1-1,2.54,0.55,1.88,0.48,Over 2.25 (@2.351),-1.0,away 2.0 (@2.09),1.0899999999999999
Netherlands vs Norway,2-1,2.22,2.59,1.35,1.94,Over 4.0 (@2.405),-1.0,away -0.5 (@2.246),-1.0
Norway vs Switzerland,0-0,2.63,1.82,1.99,2.04,Over 3.5 (@2.172),-1.0,home -1.0 (@2.32),-1.0
Norway vs Sweden,3-1,2.35,1.26,1.71,1.36,Over 2.75 (@2.316),1.3159999999999998,home -1.0 (@2.01),1.0099999999999998
Senegal vs Sudan,3-1,1.19,0.45,0.9,0.38,,0.0,home -0.5 (@1.875),0.875
Mali vs Senegal,0-1,1.15,1.14,1.18,0.91,Over 1.5 (@2.442),-1.0,home 0.0 (@2.09),-1.0
Senegal vs Egypt,1-0,1.32,0.97,1.04,1.09,Over 1.5 (@2.442),-1.0,away 0.5 (@1.953),-1.0
Senegal vs Morocco,0-3,1.16,1.39,0.88,1.58,Over 1.5 (@2.032),1.032,home 0.5 (@1.85),-1.0
Senegal vs Peru,2-0,1.14,1.11,0.97,1.42,,0.0,home 0.0 (@2.069),1.069
United States vs Senegal,3-2,1.3,1.17,1.29,0.89,Over 1.5 (@2.143),1.1429999999999998,home 0.0 (@1.972),0.972
Sudan vs Iraq,0-2,0.4,0.62,0.35,0.57,,0.0,home 0.5 (@1.842),-1.0
Algeria vs Iraq,2-0,0.98,0.69,0.79,0.66,,0.0,away 0.5 (@1.9),-1.0
Jordan vs Iraq,1-0,0.96,0.53,0.63,0.5,,0.0,away 0.5 (@2.029),-1.0
Iraq vs Bolivia,2-1,0.61,0.27,0.64,0.37,,0.0,home -0.5 (@2.283),1.283
Austria vs Đảo Síp,1-0,1.91,1.25,1.06,1.34,Over 2.25 (@2.234),-1.0,away 0.5 (@2.283),-1.0
Bosnia-Herzegovina vs Austria,1-2,1.16,2.02,1.57,1.11,Over 2.25 (@2.203),1.2029999999999998,home 1.0 (@1.963),-1.0
Romania vs Austria,1-0,0.98,2.16,0.57,1.17,Over 2.25 (@2.266),-1.0,away -1.5 (@2.5),1.5
Đảo Síp vs Austria,0-2,1.7,1.86,2.01,1.04,Over 2.75 (@2.405),-1.0,away 0 (@1.944),0.944
Austria vs Bosnia-Herzegovina,1-1,2.03,1.31,1.12,1.81,Over 2.5 (@2.351),-1.0,away 0.5 (@2.36),1.3599999999999999
Austria vs Ghana,5-1,1.86,0.42,1.03,0.59,Over 1.5 (@2.461),1.4609999999999999,home -1.5 (@2.165),1.165
Austria vs South Korea,1-0,2.13,1.55,1.14,1.41,Over 2.75 (@2.203),-1.0,away 0.5 (@2.188),-1.0
Austria vs Tunisia,1-0,2.01,0.86,1.04,0.72,Over 2.0 (@2.299),-1.0,away 1.0 (@2.27),-1.0
Ecuador vs Argentina,1-0,1.32,2.07,1.16,1.24,Over 2.5 (@2.266),-1.0,home 0.5 (@2.4),1.4
Argentina vs Venezuela,1-0,1.72,0.55,1.08,0.81,Over 1.5 (@2.48),-1.0,away 1.0 (@2.295),-1.0
Puerto Rico vs Argentina,0-6,0.28,1.72,0.28,1.08,,0.0,away -1.5 (@2.165),1.165
Angola vs Argentina,0-2,0.76,1.92,0.38,1.07,Over 1.5 (@1.875),0.875,away -1.0 (@1.944),0.944
Algeria vs Sudan,3-0,0.94,0.54,0.7,0.49,,0.0,away 0.5 (@2.0),-1.0
Algeria vs Burkina Faso,1-0,0.96,0.41,0.91,0.41,,0.0,home -0.5 (@2.049),1.049
Algeria vs Congo DR,1-0,1.13,1.54,0.99,1.66,Over 1.5 (@1.886),-1.0,home 0.5 (@2.01),1.0099999999999998
Algeria vs Nigeria,0-2,1.2,0.68,1.02,0.67,,0.0,away 0.5 (@2.121),1.121
Algeria vs Guatemala,7-0,1.21,0.82,1.04,1.17,,0.0,away 0.5 (@1.991),-1.0
Armenia vs Portugal,0-5,0.75,2.28,0.75,2.16,Over 2.25 (@2.461),1.4609999999999999,away -1.5 (@2.069),1.069
